City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,San Patricio,US,28.017,-97.5169,89.69,60,98,22.5,overcast clouds
111,Mitsamiouli,KM,-11.3847,43.2844,77.47,72,15,7.18,few clouds
112,Fortuna,US,40.5982,-124.1573,65.93,63,0,14.97,clear sky
113,Oktyabrskoye,RU,43.0645,44.7417,57.34,100,92,4.47,overcast clouds
114,Hermanus,ZA,-34.4187,19.2345,48.79,66,45,8.9,light rain
115,Ibra,OM,22.6906,58.5334,80.8,72,29,3.31,scattered clouds
116,Karla,EE,59.3723,24.9275,58.96,72,0,12.66,clear sky
117,Labuhan,ID,-6.8844,112.2051,77.41,89,91,7.52,overcast clouds
118,Novopokrovka,UA,49.8425,36.5477,58.96,90,99,12.66,light rain
119,Namibe,AO,-15.1961,12.1522,64.33,66,4,3.96,clear sky
120,Asha,RU,54.9973,57.2722,50.79,95,9,2.13,clear sky
121,Hofn,IS,64.2539,-15.2082,50.14,74,22,13.22,few clouds
122,Tigre,AR,-34.426,-58.5796,56.21,90,0,6.91,clear sky
123,Tuktoyaktuk,CA,69.4541,-133.0374,40.03,67,25,11.9,scattered clouds
124,Avera,US,33.194,-82.5271,82.45,53,56,13.44,broken clouds
125,Diplo,PK,24.4667,69.584,84.6,67,42,13.02,scattered clouds
126,Haverfordwest,GB,51.8017,-4.9691,57.54,81,56,6.29,broken clouds
127,Mahanoro,MG,-19.9,48.8,67.23,85,99,4.52,overcast clouds
128,Ilorin,NG,8.5,4.55,75.15,91,98,5.61,overcast clouds
129,Rehoboth,NA,-23.3167,17.0833,40.19,57,0,5.03,clear sky
130,Codrington,AU,-38.2667,141.9667,52.41,77,98,18.37,overcast clouds
131,Hrusovany Nad Jevisovkou,CZ,48.8299,16.4027,57.81,79,15,1.12,few clouds
132,Jamestown,US,42.097,-79.2353,76.59,77,3,4.97,clear sky
133,Bambous Virieux,MU,-20.3428,57.7575,69.22,64,66,16.06,broken clouds
134,Isangel,VU,-19.55,169.2667,80.11,70,43,11.65,scattered clouds
135,Hokitika,NZ,-42.7167,170.9667,50.83,79,100,12.28,overcast clouds
136,Severo-Kurilsk,RU,50.6789,156.125,46.0,94,100,3.6,overcast clouds
137,Shimoda,JP,34.6667,138.95,60.1,92,100,19.84,light rain
138,Roald,NO,62.5833,6.1333,53.91,93,100,9.22,overcast clouds
139,Salalah,OM,17.0151,54.0924,84.29,84,75,8.05,broken clouds
140,San Quintin,MX,30.4833,-115.95,68.41,64,0,10.87,clear sky
141,Pangody,RU,65.85,74.4859,54.72,69,81,10.85,broken clouds
142,Muros,ES,42.7762,-9.0603,62.1,92,16,1.74,few clouds
143,La Ronge,CA,55.1001,-105.2842,52.63,99,100,13.87,overcast clouds
144,Coquimbo,CL,-29.9533,-71.3436,53.33,76,0,5.75,clear sky
145,Qaanaaq,GL,77.484,-69.3632,29.86,76,93,2.59,overcast clouds
146,Lavrentiya,RU,65.5833,-171.0,35.78,99,100,3.27,light rain
147,Klaksvik,FO,62.2266,-6.589,50.92,99,95,11.86,overcast clouds
148,Veraval,IN,20.9,70.3667,83.98,77,21,9.69,few clouds
