City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Noumea,NC,78.78,light rain,-22.2763,166.4572,Hôtel Le Lagon
376,Trat,TH,82.9,overcast clouds,12.5,102.5,สวนหนิง-อัศ
377,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
379,Balsas,BR,76.17,few clouds,-7.5325,-46.0356,Novo Hotel
380,Kimbe,PG,83.34,few clouds,-5.5502,150.1429,Kimbe Bay Hotel
386,Dingle,PH,79.88,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
388,Kirakira,SB,83.57,overcast clouds,-10.4544,161.9205,SanBiz Lodge
389,North Augusta,US,81.21,broken clouds,33.5018,-81.9651,Ramada by Wyndham Augusta Downtown Hotel & Conference Center
395,Tuy Hoa,VN,78.84,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
400,Ban Pong,TH,79.3,overcast clouds,13.8163,99.8774,Pak Ping Ing Jai Resort
401,Gondal,IN,83.26,broken clouds,21.9667,70.8,Orchard Palace
402,Sestri Levante,IT,75.83,scattered clouds,44.2732,9.3968,Grande Albergo
403,Hobyo,SO,78.15,broken clouds,5.3505,48.5268,Iftin hotel hobyo
408,Annau,TM,85.5,light rain,37.8876,58.516,"Гостиница ""Уссат инженер"""
409,Sur,OM,85.26,broken clouds,22.5667,59.5289,Sur Plaza Hotel
411,Ewa Beach,US,84.15,broken clouds,21.3156,-158.0072,Base Lodging
412,Moussoro,TD,89.89,scattered clouds,13.6408,16.4901,Hôtel Salama
413,Biak,ID,77.22,overcast clouds,-0.9131,122.8766,Penginapan Kim
420,Komsomolskiy,UZ,75.78,broken clouds,40.4272,71.7189,Ikathouse
431,Bac Lieu,VN,81.84,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
433,Daru,PG,79.86,scattered clouds,-9.0763,143.2092,Daru Lodge
434,Awjilah,LY,75.78,clear sky,29.1081,21.2869,المنزل
435,Lufilufi,WS,86.79,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
442,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
447,Simdega,IN,79.43,heavy intensity rain,22.6167,84.5167,Circuit House
466,Ixtapa,MX,85.23,few clouds,20.7,-105.2,hotel la terminal
471,Houma,US,90.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
479,Port-Gentil,GA,76.96,scattered clouds,-0.7193,8.7815,Fengshui Residence
480,Haapiti,PF,83.93,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
485,Banposh,IN,80.28,overcast clouds,22.25,84.8,MAYFAIR Rourkela
489,Iracoubo,GF,77.83,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
490,Kekri,IN,86.32,broken clouds,25.9667,75.15,Rajasthani Pavitra Bhojnalaya
495,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
497,San-Pedro,CI,76.91,overcast clouds,4.7485,-6.6363,Hotel Maria
501,Fare,PF,80.33,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
504,Nuevo Progreso,MX,80.47,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
508,Dicabisagan,PH,81.9,light rain,17.0818,122.4157,Nancy Montanes Bernardo
510,Soure,BR,77.95,broken clouds,-0.7167,-48.5233,Casarão da Amazônia
511,Tevaitoa,PF,80.1,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
513,Daytona Beach,US,89.11,few clouds,29.2108,-81.0228,"Holiday Inn Resort Daytona Beach Oceanfront, an IHG Hotel"
514,Catia La Mar,VE,80.8,broken clouds,10.6038,-67.0303,HOTEL PLAYA GRANDE CARIBE
515,Piacabucu,BR,75.09,few clouds,-10.4056,-36.4344,Piaçabuçu News
519,Sao Filipe,CV,75.16,overcast clouds,14.8961,-24.4956,Hotel Xaguate
520,Riachao Das Neves,BR,78.67,overcast clouds,-11.7461,-44.91,Casa Costa
522,Westport,US,81.95,clear sky,41.1415,-73.3579,The Westport Inn
526,Suicheng,CN,78.01,clear sky,33.8963,117.9331,Junyue Hotel
529,Creston,US,88.34,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
